date,steps,distance,runDistance,calories
2020-01-09,10897,7789,448,277
2020-01-10,12370,8743,633,314
2020-01-11,5635,4228,190,156
2020-01-12,1992,1452,65,57
2020-01-13,19054,14484,509,500
2020-01-14,15359,11349,398,388
2020-01-15,17617,13253,922,466
2020-01-16,17444,13343,381,474
2020-01-17,21387,15416,690,510
2020-01-18,1388,931,89,35
2020-01-19,4090,2935,280,102
2020-01-20,13585,10325,420,357
2020-01-21,11205,8334,280,304
2020-01-22,14355,10527,354,361
2020-01-23,18149,13485,777,494
2020-01-24,16653,12490,416,451
2020-01-25,3408,2523,46,89
2020-01-26,2931,2091,137,77
2020-01-27,17373,12545,393,415
2020-01-28,16908,12349,576,428
2020-01-29,20245,14825,658,503
2020-01-30,15637,11532,474,396
2020-01-31,25124,18683,826,630
2020-02-01,15531,11591,999,407
2020-02-02,3801,2605,123,85
2020-02-03,1981,1402,122,52
2020-02-04,15283,10856,742,364
2020-02-05,12447,9106,675,316
2020-02-06,15418,11591,538,414
2020-02-07,17921,13029,658,446
2020-02-08,16211,11955,503,410
2020-02-09,4663,3394,234,124
2020-02-10,12407,9112,751,326
2020-02-11,18824,13449,500,447
2020-02-12,15733,11365,574,386
2020-02-13,11723,8498,859,293
2020-02-14,16523,12077,1483,425
2020-02-15,15492,11661,301,410
2020-02-16,4166,2992,174,108
2020-02-17,9284,6604,861,229
2020-02-18,19679,14048,704,463
2020-02-19,17013,12180,755,401
2020-02-20,14745,10473,819,349
2020-02-21,23906,17231,1932,587
2020-02-22,10026,7253,574,250
2020-02-23,2108,1525,192,60
2020-02-24,20421,14989,1636,526
2020-02-25,18499,13266,639,437
2020-02-26,21490,15436,1170,519
2020-02-27,14010,10142,656,354
2020-02-28,20424,14860,760,498
2020-02-29,10768,7655,844,262
2020-03-01,3710,2639,241,98
2020-03-02,17378,12518,682,431
2020-03-03,13753,9762,502,334
2020-03-04,14934,10874,467,375
2020-03-05,14282,10197,715,353
2020-03-06,17213,12447,431,434
2020-03-07,11130,8209,314,285
2020-03-08,2923,2127,132,82
2020-03-09,17406,12575,982,441
2020-03-10,13128,9444,468,322
2020-03-11,16299,11951,924,415
2020-03-12,14861,10723,1139,388
2020-03-13,16395,11809,601,407
2020-03-14,8771,6600,230,244
2020-03-15,3271,2377,184,91
2020-03-16,6586,4732,357,172
2020-03-17,3855,2880,204,107
2020-03-18,2668,1849,326,73
2020-03-19,1758,1152,159,47
2020-03-20,5425,3904,128,138
2020-03-21,2110,1421,138,53
2020-03-22,1436,939,93,35
2020-03-23,1023,669,180,32
2020-03-24,12566,8974,617,318
2020-03-25,1319,863,76,35
2020-03-26,2064,1421,129,53
2020-03-27,1848,1297,72,53
2020-03-28,2148,1493,216,64
2020-03-29,1332,879,104,33
2020-03-30,1852,1361,151,53
2020-03-31,3127,2156,159,81
2020-04-01,2417,1794,113,72
2020-04-02,5219,3796,228,136
2020-04-03,15679,10711,889,354
2020-04-04,3598,2429,214,93
2020-04-05,2022,1325,105,49
2020-04-06,4587,3045,224,108
2020-04-07,4188,2783,229,103
2020-04-08,3203,2102,219,83
2020-04-09,2901,2094,181,79
2020-04-10,6976,4851,204,164
2020-04-11,4358,2850,143,95
2020-04-12,3786,2700,134,98
2020-04-13,4782,3474,178,125
2020-04-14,1074,702,70,26
2020-04-15,1693,1227,69,50
2020-04-16,1610,1053,78,38
2020-04-17,3088,2019,160,73
2020-04-18,5811,3907,271,134
2020-04-19,4515,2953,145,102
2020-04-20,2262,1631,132,63
2020-04-21,1377,908,126,39
2020-04-22,1144,749,93,32
2020-04-23,2674,1922,78,73
2020-04-24,1784,1230,90,44
2020-04-25,1192,779,117,35
2020-04-26,4692,3068,337,114
2020-04-27,1958,1445,101,57
2020-04-28,1000,654,174,30
2020-04-29,551,360,30,16
2020-04-30,802,524,89,23
2020-05-01,2095,1465,162,59
2020-05-02,6325,4136,273,146
2020-05-03,1237,809,158,36
2020-05-04,1116,730,86,29
2020-05-05,1248,828,81,34
2020-05-06,1151,753,121,34
2020-05-07,498,326,75,15
2020-05-08,830,543,82,23
2020-05-09,10509,7905,332,294
2020-05-10,1084,718,118,32
2020-05-11,768,502,72,21
2020-05-12,3066,2153,193,84
2020-05-13,908,594,100,25
2020-05-14,1227,802,93,34
2020-05-15,4925,3223,228,105
2020-05-16,2327,1610,152,65
2020-05-17,2264,1549,175,63
2020-05-18,2264,1581,68,56
2020-05-19,1417,927,158,44
2020-05-20,5656,4162,169,153
2020-05-21,864,565,78,25
2020-05-22,6553,4667,160,160
2020-05-23,1671,1174,127,45
2020-05-24,1219,797,118,35
2020-05-25,6027,4039,145,136
2020-05-26,898,587,83,26
2020-05-27,2400,1569,210,61
2020-05-28,5160,3756,126,136
2020-05-29,2808,2023,103,74
2020-05-30,1735,1142,69,44
2020-05-31,898,587,129,28
2020-06-01,1655,1133,80,42
2020-06-02,2555,1782,199,74
2020-06-03,9165,6299,288,216
2020-06-04,1594,1042,43,39
2020-06-05,11356,8440,366,309
2020-06-06,1618,1091,121,48
2020-06-07,446,292,63,15
2020-06-08,4420,3018,234,109
2020-06-09,585,383,77,18
2020-06-10,549,359,62,18
2020-06-11,2016,1318,218,54
2020-06-12,1913,1359,142,49
2020-06-13,2035,1331,147,48
2020-06-14,1112,729,67,30
2020-06-15,1484,994,204,42
2020-06-16,2313,1514,169,60
2020-06-17,3889,2812,85,99
2020-06-18,2264,1543,74,57
2020-06-19,2827,1849,163,70
2020-06-20,2164,1551,108,58
2020-06-21,5735,3769,284,131
2020-06-22,658,430,86,22
2020-06-23,2796,1955,185,72
2020-06-24,695,454,119,24
2020-06-25,1956,1341,178,54
2020-06-26,3606,2358,266,86
2020-06-27,564,369,49,19
2020-06-28,2688,1964,152,76
2020-06-29,921,602,66,29
2020-06-30,3354,2260,161,85
2020-07-01,964,630,112,25
2020-07-02,4113,2874,211,105
2020-07-03,1784,1167,238,49
2020-07-04,1844,1280,152,50
2020-07-05,2257,1496,104,57
2020-07-06,822,538,111,26
2020-07-07,1527,1003,166,40
2020-07-08,1127,737,83,28
2020-07-09,5978,4279,298,152
2020-07-10,980,641,115,28
2020-07-11,2522,1793,126,68
2020-07-12,1576,1031,92,40
2020-07-13,1676,1124,94,45
2020-07-14,869,568,76,24
2020-07-15,977,639,150,29
2020-07-16,3915,2816,196,105
2020-07-17,1199,784,78,30
2020-07-18,779,509,116,23
2020-07-19,2948,2073,130,75
2020-07-20,596,390,106,19
2020-07-21,707,462,104,23
2020-07-22,3696,2618,133,96
2020-07-23,513,335,83,19
2020-07-24,1314,859,169,37
2020-07-25,2827,1924,81,67
2020-07-26,2307,1623,136,61
2020-07-27,759,496,102,24
2020-07-28,628,411,78,19
2020-07-29,11151,7877,655,269
2020-07-30,672,439,128,21
2020-07-31,3087,2246,144,85
2020-08-01,1874,1294,103,49
2020-08-02,602,394,65,18
2020-08-03,1820,1190,97,41
2020-08-04,3235,2278,138,86
2020-08-05,13507,9679,611,334
2020-08-06,8214,5736,290,192
2020-08-07,4831,3372,326,123
2020-08-08,2327,1643,206,68
2020-08-09,4080,2840,387,112
2020-08-10,794,519,215,25
2020-08-11,6925,4871,222,171
2020-08-12,2604,1827,259,72
2020-08-13,2163,1543,104,59
2020-08-14,3451,2390,198,95
2020-08-15,4376,3041,351,119
2020-08-16,1812,1185,140,52
2020-08-17,2493,1630,247,66
2020-08-18,4451,3299,142,120
2020-08-19,1772,1159,218,52
2020-08-20,1994,1304,138,49
2020-08-21,892,583,62,26
2020-08-22,441,288,54,12
2020-08-23,1284,840,146,40
2020-08-24,16521,11606,590,394
2020-08-25,446,292,39,13
2020-08-26,2701,2021,133,76
2020-08-27,678,443,68,22
2020-08-28,770,504,85,22
2020-08-29,3117,2256,184,84
2020-08-30,1082,708,88,31
2020-08-31,4836,3442,284,120
2020-09-01,3545,2521,185,98
2020-09-02,826,540,61,20
2020-09-03,20420,14953,351,520
2020-09-04,12715,9695,359,337
2020-09-05,275,180,61,10
2020-09-06,2002,1489,63,56
2020-09-07,2369,1719,70,64
2020-09-08,4574,3289,296,112
2020-09-09,795,520,70,22
2020-09-10,690,451,53,21
2020-09-11,2088,1365,93,48
2020-09-12,1012,662,87,28
2020-09-13,1312,858,133,36
2020-09-14,690,451,66,20
2020-09-15,5515,3875,228,140
2020-09-16,1337,898,97,35
2020-09-17,1333,872,71,30
2020-09-18,2304,1607,97,58
2020-09-19,521,341,33,16
2020-09-20,672,439,48,19
2020-09-21,3461,2436,162,88
2020-09-22,3665,2589,145,94
2020-09-23,1219,797,73,31
2020-09-24,1446,946,94,39
2020-09-25,3774,2788,76,100
2020-09-26,9805,7121,216,242
2020-09-27,1197,783,112,38
2020-09-28,1090,713,118,31
2020-09-29,1390,909,166,39
2020-09-30,1030,674,113,25
2020-10-01,3541,2440,221,86
2020-10-02,1080,706,106,33
2020-10-03,1864,1249,102,46
2020-10-04,3549,2505,168,89
2020-10-05,477,312,104,17
2020-10-06,2802,1957,128,76
2020-10-07,1147,750,96,31
2020-10-08,5910,4502,74,163
2020-10-09,908,594,85,25
2020-10-10,2156,1420,228,52
2020-10-11,1293,846,116,37
2020-10-12,1483,975,146,40
2020-10-13,1080,706,103,30
2020-10-14,1356,887,129,38
2020-10-15,6208,4529,264,162
2020-10-16,1380,902,148,41
2020-10-17,434,284,69,13
2020-10-18,800,523,114,24
2020-10-19,3889,2831,150,101
2020-10-20,1214,794,67,34
2020-10-21,1385,906,71,36
2020-10-22,3089,2166,158,82
2020-10-23,649,424,33,20
2020-10-24,14196,10986,219,383
2020-10-25,9882,7720,206,270
2020-10-26,890,582,71,25
2020-10-27,1019,674,93,27
2020-10-28,707,462,93,19
2020-10-29,912,603,79,23
2020-10-30,755,494,79,22
2020-10-31,3311,2313,177,79
2020-11-01,1047,685,110,26
2020-11-02,3778,2778,119,98
2020-11-03,802,524,113,26
2020-11-04,993,649,146,29
2020-11-05,647,423,84,20
2020-11-06,721,471,41,18
2020-11-07,4608,3460,195,123
2020-11-08,734,480,97,22
2020-11-09,360,235,77,12
2020-11-10,21,14,0,1
2020-11-11,2212,1600,178,63
2020-11-12,843,551,126,26
2020-11-13,2389,1715,110,64
2020-11-14,909,594,111,22
2020-11-15,673,442,36,18
2020-11-16,16953,12912,229,441
2020-11-17,942,638,91,27
2020-11-18,1019,666,88,27
2020-11-19,543,355,23,14
2020-11-20,485,317,69,15
2020-11-21,353,231,39,12
2020-11-22,2317,1662,119,65
2020-11-23,955,625,134,28
2020-11-24,903,591,58,26
2020-11-25,1644,1225,56,47
2020-11-26,710,464,68,19
2020-11-27,1059,696,75,29
2020-11-28,5707,4111,259,145
2020-11-29,1325,866,174,38
